id,value,rare
0,0,0
1,1,0
2,3,0
3,5,0
4,7,0
5,9,0
6,11,0
7,13,0
8,15,0
9,17,0
10,19,0
11,21,0
12,23,0
13,25,0
14,27,0
15,29,0
16,31,0
17,33,0
18,35,0
19,37,0
20,39,0
21,41,0
22,43,0
23,45,0
24,47,0
25,49,0
26,51,0
27,53,0
28,55,0
29,57,0
30,59,0
31,61,0
32,63,0
33,65,0
34,67,0
35,69,0
36,70,0
37,71,0
38,72,0
39,73,0
40,74,0
41,75,0
42,76,0
43,77,0
44,78,0
45,79,0
46,80,0
47,81,0
48,82,0
49,83,0
50,84,0
51,85,0
52,86,0
53,87,0
54,88,0
55,89,0
56,90,0
57,91,0
58,92,0
59,93,0
60,94,0
61,95,0
62,96,0
63,97,0
64,98,0
65,99,0
66,100,0
67,101,0
68,102,0
69,103,0
70,104,0
71,105,0
72,106,0
73,107,0
74,108,0
75,109,0
76,110,0
77,111,0
78,112,0
79,113,0
80,114,0
81,115,0
82,116,0
83,117,0
84,118,0
85,119,0
86,120,0
87,121,0
88,122,0
89,123,0
90,124,0
91,125,0
92,126,0
93,127,0
94,128,0
95,129,0
96,130,0
97,131,0
98,132,0
99,133,0
100,134,0
101,135,0
102,136,0
103,137,0
104,138,0
105,139,0
106,140,0
107,141,0
108,142,0
109,143,0
110,144,0
111,145,0
112,146,0
113,147,0
114,148,0
115,149,0
116,150,0
117,151,0
118,152,0
119,153,0
120,154,0
121,155,0
122,156,0
123,157,0
124,158,0
125,159,0
126,160,0
127,161,0
128,162,0
129,163,0
130,164,0
131,165,0
132,166,0
133,167,0
134,168,0
135,169,0
136,170,0
137,171,0
138,172,0
139,173,0
140,174,0
141,175,0
142,176,0
143,177,0
144,178,0
145,179,0
146,180,0
147,181,0
148,182,0
149,183,0
150,1,1
151,2,1
152,4,1
153,8,1
154,16,1
155,32,1
156,64,1
157,128,1
158,256,1
159,512,1
160,1024,1
161,2048,1
162,4096,1
163,8192,1
164,16384,1
165,32768,1
166,65536,1
167,131072,1
168,262144,1
169,524288,1
170,1048576,1
171,2097152,1
172,4194304,1
173,8388608,1
174,16777216,1
175,33554432,1
176,67108864,1
177,134217728,1
178,268435456,1
179,536870912,1
180,1073741824,1
count,181